query_id,router_enqueue->router_dequeue,router_dequeue->worker_start,worker_start->worker_done,worker_done->router_recv_result,router_recv_result->router_enqueue
21,5.866,7.266,2579.2920000000004,9.637,18.107
22,5.7219999999999995,7.802,2577.215,13.620000000000001,20.001
23,5.538,7.653,2559.2079999999996,10.384,18.572
24,5.177,8.405,2503.824,11.827,19.215
25,5.9959999999999996,7.329000000000001,2510.281,9.868,18.830000000000002
26,5.813999999999999,8.444,2500.109,11.593,18.455000000000002
27,5.961,7.963,2451.035,17.001,17.929
28,5.961,7.711,2552.6220000000003,14.176,19.531
29,5.843,7.441000000000001,2585.793,13.06,18.117
30,5.8839999999999995,7.361,2604.035,10.772,18.341
31,5.885,7.797000000000001,2571.631,13.703,18.386000000000003
32,6.372999999999999,7.3180000000000005,2593.9680000000003,10.726,21.536
33,5.936999999999999,7.468,2561.8779999999997,10.096,19.431
34,5.833,7.221,2552.716,10.467,19.082
35,5.862,7.2490000000000006,2566.867,14.427,23.021
36,5.819000000000001,16.457,2627.6530000000002,10.722,20.726
37,5.851,7.438000000000001,2557.015,13.106,19.43
38,5.818,7.682,2577.924,10.773,20.075
39,5.790000000000001,7.6690000000000005,2552.0879999999997,14.331,19.796
40,5.723000000000001,7.899,2594.209,10.389,19.405
41,5.79,8.923,2559.987,11.018,23.319000000000003
42,5.8020000000000005,8.469,2557.5480000000002,14.867,20.264
43,5.841,7.731999999999999,2594.6349999999998,10.562,19.398
44,5.744,7.66,2551.151,10.491,19.790000000000003
45,5.814,7.437,2565.876,14.081000000000001,19.15
46,5.782,7.649,2587.156,14.403,19.991
47,5.739,19.058,2623.303,10.089,19.363
48,6.361000000000001,7.510999999999999,2542.348,10.562000000000001,19.971
49,5.866,8.612,2536.286,9.64,19.578000000000003
50,5.7940000000000005,7.282,2536.115,14.656,19.471
