query_id,router_enqueue_0->router_dequeue_0,router_dequeue_0->worker_start_0,worker_start_0->worker_done_0,worker_done_0->router_recv_result_0,router_recv_result_0->router_enqueue_1,router_enqueue_1->router_dequeue_1,router_dequeue_1->worker_start_1,worker_start_1->worker_done_1,worker_done_1->router_recv_result_1,router_recv_result_1->router_enqueue_2,router_enqueue_2->router_dequeue_2,router_dequeue_2->worker_start_2,worker_start_2->worker_done_2,worker_done_2->router_recv_result_2,router_recv_result_2->router_enqueue_3,router_enqueue_3->router_dequeue_3,router_dequeue_3->worker_start_3,worker_start_3->worker_done_3,worker_done_3->router_recv_result_3
21,1.415,1.219,886.144,2.441,6.056,1.43,1.451,427.796,2.628,5.87,1.571,2.508,425.371,2.138,6.181,1.45,2.088,839.981,2.43
22,1.411,1.818,883.066,2.656,6.69,1.469,1.716,426.244,6.301,6.668,1.412,2.372,423.521,2.179,6.643,1.43,1.896,844.384,2.484
23,1.388,1.913,842.031,2.765,6.566,1.581,1.903,469.044,2.756,6.005,1.419,1.962,426.424,2.349,6.001,1.15,1.875,821.709,2.514
24,1.411,2.223,831.408,2.752,6.885,1.527,1.916,429.563,2.712,6.266,1.432,2.311,423.717,3.782,6.064,0.807,1.955,819.136,2.581
25,1.4,1.673,824.577,2.542,6.387,1.681,1.859,425.671,2.458,6.038,1.445,1.9,438.513,2.12,6.405,1.47,1.897,821.52,2.748
26,1.397,1.775,784.555,4.183,6.373,1.552,1.826,424.274,2.674,5.892,1.424,2.052,427.807,2.087,6.19,1.441,2.791,863.473,2.649
27,1.472,2.199,785.957,9.148,6.393,1.533,1.878,424.915,2.707,5.64,1.442,1.849,421.635,2.526,5.896,1.514,2.037,818.528,2.62
28,1.465,1.694,881.807,2.632,6.777,1.531,1.942,425.192,2.838,6.034,1.515,2.002,424.198,5.998,6.72,1.45,2.073,821.425,2.708
29,1.448,1.854,883.125,2.424,6.339,1.534,1.849,423.868,5.817,5.633,1.421,1.87,461.48,2.291,6.145,1.44,1.868,817.32,2.528
30,1.426,1.752,882.205,2.542,6.418,1.536,1.861,470.09,2.934,5.744,1.401,1.908,431.263,2.577,6.179,1.521,1.84,820.477,2.719
31,1.413,1.672,882.127,2.505,6.48,1.509,1.946,443.888,2.72,5.583,1.423,1.904,424.626,2.544,6.323,1.54,2.275,820.99,5.934
32,1.449,1.855,888.128,2.568,7.292,1.639,1.705,423.512,2.819,8.102,1.759,1.848,425.181,2.701,6.142,1.526,1.91,857.147,2.638
33,1.387,1.809,884.563,2.507,6.408,1.483,1.896,422.453,2.415,6.466,1.563,1.937,430.477,2.553,6.557,1.504,1.826,824.385,2.621
34,1.388,1.767,883.224,2.423,6.143,1.425,1.827,424.844,2.62,6.578,1.553,1.832,424.647,2.782,6.361,1.467,1.795,820.001,2.642
35,1.43,1.874,883.444,2.572,6.145,1.43,1.799,441.7,2.763,10.026,1.539,1.806,424.359,6.434,6.85,1.463,1.77,817.364,2.658
36,1.356,1.757,882.58,2.642,7.429,1.435,1.943,429.6,2.718,6.794,1.57,1.863,463.869,2.696,6.503,1.458,10.894,851.604,2.666
37,1.383,1.76,882.674,2.604,6.529,1.457,1.864,423.779,5.593,6.719,1.508,1.875,428.445,2.518,6.182,1.503,1.939,822.117,2.391
38,1.402,1.925,882.343,2.581,6.962,1.396,1.89,453.945,2.747,6.653,1.532,2.002,422.93,2.757,6.46,1.488,1.865,818.706,2.688
39,1.378,1.69,881.597,2.642,6.371,1.439,1.864,427.187,2.859,6.791,1.506,1.905,422.937,6.153,6.634,1.467,2.21,820.367,2.677
40,1.343,1.822,883.47,2.688,6.143,1.445,1.823,427.868,2.783,6.934,1.479,2.236,464.081,2.452,6.328,1.456,2.018,818.79,2.466
41,1.381,1.877,885.123,2.703,9.701,1.423,3.188,424.607,2.929,6.928,1.457,2.012,431.332,2.694,6.69,1.529,1.846,818.925,2.692
42,1.36,1.724,886.967,2.657,6.79,1.433,2.483,423.965,2.547,6.934,1.511,2.137,426.016,2.612,6.54,1.498,2.125,820.6,7.051
43,1.373,1.791,886.962,2.576,6.265,1.437,2.09,421.001,2.627,6.453,1.481,2.009,421.86,2.778,6.68,1.55,1.842,864.812,2.581
44,1.334,1.887,882.924,2.518,6.464,1.405,1.87,424.387,2.557,6.703,1.461,1.997,422.737,2.695,6.623,1.544,1.906,821.103,2.721
45,1.37,1.783,902.004,2.658,6.274,1.42,1.917,422.293,6.325,6.598,1.456,1.926,422.868,2.618,6.278,1.568,1.811,818.711,2.48
46,1.333,1.89,880.027,2.583,6.597,1.426,1.982,466.366,2.662,6.826,1.501,1.841,421.786,6.447,6.568,1.522,1.936,818.977,2.711
47,1.337,1.933,881.384,2.552,6.344,1.39,1.807,426.057,2.411,6.523,1.496,1.772,462.649,2.519,6.496,1.516,13.546,853.213,2.607
48,1.953,1.716,878.528,2.52,6.428,1.475,1.805,422.812,2.628,6.727,1.469,1.983,425.495,2.749,6.816,1.464,2.007,815.513,2.665
49,1.372,2.426,876.941,2.167,6.399,1.441,1.972,423.928,2.621,6.779,1.485,2.435,421.65,2.539,6.4,1.568,1.779,813.767,2.313
50,1.377,1.81,878.742,2.194,6.384,1.443,1.761,421.684,2.452,6.444,1.475,1.948,420.833,5.811,6.643,1.499,1.763,814.856,4.199
