query_id,router_enqueue_0->router_dequeue_0,router_dequeue_0->worker_start_0,worker_start_0->worker_done_0,worker_done_0->router_recv_result_0,router_recv_result_0->router_enqueue_1,router_enqueue_1->router_dequeue_1,router_dequeue_1->worker_start_1,worker_start_1->worker_done_1,worker_done_1->router_recv_result_1,router_recv_result_1->router_enqueue_2,router_enqueue_2->router_dequeue_2,router_dequeue_2->worker_start_2,worker_start_2->worker_done_2,worker_done_2->router_recv_result_2,router_recv_result_2->router_enqueue_3,router_enqueue_3->router_dequeue_3,router_dequeue_3->worker_start_3,worker_start_3->worker_done_3,worker_done_3->router_recv_result_3,router_recv_result_3->router_enqueue_4,router_enqueue_4->router_dequeue_4,router_dequeue_4->worker_start_4,worker_start_4->worker_done_4,worker_done_4->router_recv_result_4,router_recv_result_4->router_enqueue_5,router_enqueue_5->router_dequeue_5,router_dequeue_5->worker_start_5,worker_start_5->worker_done_5,worker_done_5->router_recv_result_5
21,1.408,1.298,736.087,2.839,6.36,1.421,2.821,324.52,4.013,6.838,1.548,2.299,322.323,2.213,6.742,1.463,1.897,326.014,4.572,5.291,1.554,1.977,320.136,4.321,5.227,1.54,1.771,684.503,2.609
22,1.406,1.876,735.81,2.605,6.879,1.442,2.184,314.866,2.134,6.774,1.561,5.287,324.761,2.608,6.657,1.438,3.205,313.859,4.149,5.069,1.553,3.154,309.547,4.051,5.141,1.488,10.758,719.034,2.439
23,1.409,1.728,739.191,2.999,6.69,1.429,2.28,294.484,2.094,6.714,1.509,2.143,322.026,4.455,6.577,1.451,2.09,314.21,5.319,4.915,1.549,2.519,314.877,2.36,4.997,1.489,2.015,744.13,2.728
24,1.416,2.48,738.339,2.499,6.727,1.464,2.088,296.051,4.331,6.797,1.62,2.918,312.894,4.326,6.835,1.441,2.196,329.968,4.356,5.15,1.642,2.04,290.427,2.498,5.292,1.538,1.98,744.114,2.824
25,1.386,1.807,740.111,2.736,6.665,1.399,1.823,320.096,2.463,6.691,1.54,1.861,314.937,5.619,6.594,1.446,1.935,313.674,4.627,5.065,1.593,1.8,290.694,4.773,5.068,1.48,2.234,689.602,2.447
26,1.432,1.722,736.859,2.507,6.584,1.394,1.975,294.329,2.465,6.614,1.68,1.932,320.5,4.945,6.071,1.433,1.884,308.846,5.829,5.044,1.603,1.846,312.955,2.347,5.334,1.5,2.12,688.755,2.749
27,1.411,1.783,737.713,2.635,6.735,1.428,2.044,293.955,5.136,6.72,1.501,1.903,313.598,4.44,5.94,1.447,2.032,323.09,4.595,5.065,1.586,1.888,291.097,3.109,4.537,0.862,2.495,683.877,2.855
28,1.437,1.704,735.007,2.581,7.004,1.434,2.092,321.255,4.284,7.096,1.678,2.227,310.565,4.947,6.215,1.444,2.135,310.532,4.516,5.313,1.564,2.272,288.565,5.966,5.727,1.497,2.353,684.442,3.005
29,1.395,1.972,731.205,2.552,6.84,1.408,1.891,315.98,2.209,7.002,1.549,1.867,315.398,5.405,5.992,1.405,1.873,307.485,5.32,5.206,1.575,1.788,318.368,4.313,5.307,1.478,1.934,680.305,2.489
30,1.392,1.746,732.249,2.503,6.678,1.388,2.014,290.863,2.498,6.702,1.608,2.113,319.877,4.224,6.061,1.442,1.974,321.276,4.21,5.579,1.589,1.979,311.764,4.137,4.96,1.627,1.814,689.093,2.731
