query_id,router_enqueue_0->router_dequeue_0,router_dequeue_0->worker_start_0,worker_start_0->worker_done_0,worker_done_0->router_recv_result_0,router_recv_result_0->router_enqueue_1,router_enqueue_1->router_dequeue_1,router_dequeue_1->worker_start_1,worker_start_1->worker_done_1,worker_done_1->router_recv_result_1
100,25296.775,1.776,1265.624,25.956,13.684,824.025,7.086,1225.264,37.741
101,25285.051,1.772,1265.624,25.988,13.827,823.854,7.082,1225.264,37.766
102,26566.345,1.848,1288.843,22.193,16.14,778.824,18.374,1256.642,12.882
103,26554.549,1.837,1288.844,25.387,14.828,776.95,18.368,1256.639,21.973
104,26542.355,1.833,1288.844,25.425,15.042,776.701,18.366,1256.638,22.011
105,26530.446,1.828,1288.845,25.459,15.447,776.264,18.365,1256.637,22.043
106,27834.937,1.864,1273.313,22.385,13.629,777.555,18.163,1224.011,16.976
107,27823.234,1.853,1273.314,25.538,12.023,776.018,18.153,1224.011,30.763
108,27811.447,1.849,1273.314,25.575,13.251,774.757,18.15,1224.01,30.803
109,27799.387,1.845,1273.314,25.609,13.582,774.396,18.146,1224.009,30.835
110,29088.14,2.033,1281.602,19.597,13.388,744.333,6.229,1255.117,13.607
111,29076.339,2.022,1281.603,22.744,11.714,742.871,6.218,1255.117,34.372
112,29064.279,2.018,1281.603,22.784,13.383,741.168,6.213,1255.116,34.403
113,29052.495,2.014,1281.603,22.818,13.526,740.995,6.209,1255.116,34.428
114,30347.166,2.034,1239.213,21.409,13.169,774.479,6.324,1227.961,13.199
115,30335.168,2.024,1239.214,24.512,11.343,773.211,6.317,1227.958,28.589
116,30323.198,2.019,1239.214,24.548,12.764,771.758,6.313,1227.958,28.616
117,30311.523,2.016,1239.212,24.58,13.072,771.421,6.312,1227.957,28.639
118,31565.036,1.801,1269.912,22.134,13.843,739.746,6.663,1229.06,15.063
119,31553.178,1.791,1269.913,25.289,12.139,738.302,6.658,1229.058,30.243
120,31541.532,1.786,1269.913,25.327,13.852,736.554,6.656,1229.057,30.272
121,31529.654,1.782,1269.914,25.36,13.997,736.379,6.654,1229.056,30.308
122,32814.592,1.885,1277.487,21.651,14.761,700.639,6.45,1244.607,13.606
123,32803.015,1.874,1277.488,24.901,13.033,699.125,6.444,1244.605,31.527
124,32791.179,1.87,1277.488,24.94,14.272,697.85,6.442,1244.604,31.557
125,32779.389,1.867,1277.487,24.973,14.657,697.435,6.44,1244.604,31.582
126,34071.807,1.728,1268.783,21.021,15.934,687.279,6.738,1226.489,13.577
127,34060.219,1.716,1268.785,24.967,13.303,685.972,6.731,1226.488,29.172
128,34048.423,1.712,1268.785,25.017,14.763,684.465,6.729,1226.487,29.2
129,34036.558,1.708,1268.784,25.069,15.062,684.118,6.727,1226.486,29.224
130,35320.105,1.822,1276.136,21.525,13.716,648.522,6.179,1225.612,13.352
131,35308.269,1.811,1276.137,24.69,12.152,646.929,6.173,1225.609,28.799
132,35296.305,1.808,1276.137,24.733,13.357,645.684,6.171,1225.608,28.835
133,35284.413,1.803,1276.137,24.803,13.667,645.306,6.17,1225.607,28.865
134,36575.182,1.668,1271.765,22.347,13.446,610.422,6.258,1219.796,16.068
135,36563.36,1.657,1271.766,25.504,11.914,608.808,6.249,1219.795,35.116
136,36551.326,1.652,1271.766,25.547,13.567,607.116,6.246,1219.794,35.144
137,36539.772,1.649,1271.766,25.595,13.697,606.942,6.242,1219.793,35.169
138,37826.617,1.765,1276.377,21.758,13.782,568.217,6.257,1248.737,16.34
139,37814.771,1.755,1276.378,24.998,12.119,566.649,6.248,1248.737,32.086
140,37802.953,1.75,1276.378,25.045,13.36,565.363,6.247,1248.736,32.115
141,37790.797,1.747,1276.378,25.078,13.692,565.002,6.243,1248.736,32.141
142,39082.042,1.796,1278.178,18.945,13.551,553.398,6.177,1230.955,22.033
143,39070.319,1.787,1278.178,22.12,11.927,551.855,6.169,1230.954,41.709
144,39058.495,1.783,1278.178,22.162,13.149,550.593,6.168,1230.953,41.736
