query_id,router_dequeue_0,router_dequeue_1,router_enqueue_0,router_enqueue_1,router_recv_result_0,router_recv_result_1,worker_done_0,worker_done_1,worker_start_0,worker_start_1
100,1607205840624621,1607205938370664,1607205836365597,1607205937093967,1607205842484237,1607205939606105,1607205841883144,1607205939603086,1607205840637776,1607205938384578
101,1607205840624622,1607205939621456,1607205836377296,1607205938393308,1607205842484256,1607205940850509,1607205841883145,1607205940847904,1607205840637777,1607205939633231
102,1607205840624624,1607205940878980,1607205836390037,1607205939646524,1607205842484278,1607205942116863,1607205841883146,1607205942108941,1607205840637779,1607205940892661
103,1607205840624626,1607205942143108,1607205836401265,1607205940904344,1607205842484296,1607205943423826,1607205841883147,1607205943421021,1607205840637781,1607205942157265
104,1607205840624627,1607205943438092,1607205836413336,1607205942166015,1607205842484311,1607205944675429,1607205841883148,1607205944670472,1607205840637783,1607205943452426
105,1607205840624629,1607205944703524,1607205836425343,1607205943460821,1607205842484325,1607205945962062,1607205841883149,1607205945959286,1607205840637785,1607205944717576
106,1607205840624630,1607205945988387,1607205836436446,1607205944725378,1607205842484339,1607205947221405,1607205841883150,1607205947216457,1607205840637787,1607205946002354
107,1607205840624632,1607205947239568,1607205836448276,1607205946014939,1607205842484352,1607205948493632,1607205841883151,1607205948490907,1607205840637789,1607205947251669
108,1607205840624634,1607205948521396,1607205836460109,1607205947262161,1607205842484369,1607205949762196,1607205841883151,1607205949756805,1607205840637791,1607205948535422
109,1607205840624635,1607205949789522,1607205836472014,1607205948543848,1607205842484392,1607205951051035,1607205841883153,1607205951048344,1607205840637792,1607205949803619
110,1607205840624637,1607205951065985,1607205836484057,1607205949812415,1607205842484410,1607205952299966,1607205841883153,1607205952297252,1607205840637794,1607205951079755
111,1607205840624639,1607205952327748,1607205836495791,1607205951088537,1607205842484428,1607205953560757,1607205841883154,1607205953558015,1607205840637796,1607205952341881
112,1607205840624640,1607205953588360,1607205836507515,1607205952349479,1607205842484444,1607205954813329,1607205841883155,1607205954810544,1607205840637797,1607205953602402
113,1607205840624642,1607205954827854,1607205836519463,1607205953610613,1607205842484461,1607205956058346,1607205841883156,1607205956055621,1607205840637799,1607205954841879
114,1607205840624643,1607205956085740,1607205836531161,1607205954850114,1607205842484479,1607205957317311,1607205841883157,1607205957312196,1607205840637801,1607205956099558
115,1607205840624648,1607205957344941,1607205836543164,1607205956117373,1607205842484496,1607205958605423,1607205841883158,1607205958600797,1607205840637802,1607205957358948
116,1607205840624650,1607205958620200,1607205836554937,1607205957373303,1607205842484515,1607205959869810,1607205841883159,1607205959867085,1607205840637803,1607205958633862
117,1607205840624652,1607205959897666,1607205836566761,1607205958649295,1607205842484532,1607205961139592,1607205841883160,1607205961136637,1607205840637805,1607205959911642
118,1607205842483705,1607205961167112,1607205836578354,1607205959920176,1607205844376072,1607205962399214,1607205843740955,1607205962396506,1607205842497216,1607205961181424
119,1607205842483716,1607205962414030,1607205836590124,1607205961197805,1607205844382109,1607205963662848,1607205843740960,1607205963659590,1607205842497221,1607205962427750
120,1607205842483718,1607205963694428,1607205836601973,1607205962461413,1607205844382127,1607205964931599,1607205843740961,1607205964927836,1607205842497223,1607205963708454
121,1607205842483719,1607205964957494,1607205836613878,1607205963740621,1607205844382153,1607205966187212,1607205843740962,1607205966182111,1607205842497224,1607205964971478
122,1607205842483721,1607205966208695,1607205836625955,1607205964992561,1607205844382175,1607205967452156,1607205843740963,1607205967449183,1607205842497226,1607205966222761
123,1607205842483724,1607205967473794,1607205836637718,1607205966243356,1607205844382194,1607205968739893,1607205843740964,1607205968733678,1607205842497227,1607205967487835
124,1607205842483725,1607205968766189,1607205836666503,1607205967505297,1607205844382212,1607205970014317,1607205843740965,1607205970011374,1607205842497229,1607205968779962
125,1607205842483727,1607205970033407,1607205836666601,1607205968811519,1607205844382238,1607205971261947,1607205843740965,1607205971259079,1607205842497230,1607205970047515
126,1607205842483728,1607205971291250,1607205836672442,1607205970061963,1607205844382253,1607205972521738,1607205843740969,1607205972516796,1607205842497233,1607205971304009
127,1607205842483730,1607205972537534,1607205836684652,1607205971314334,1607205844382266,1607205973805481,1607205843740970,1607205973802583,1607205842497235,1607205972549844
128,1607205842483732,1607205973821316,1607205836696443,1607205972564523,1607205844382279,1607205975063454,1607205843740970,1607205975058908,1607205842497236,1607205973842310
129,1607205842483733,1607205975088073,1607205836708432,1607205973852223,1607205844382298,1607205976345839,1607205843740971,1607205976340717,1607205842497237,1607205975107685
130,1607205842483735,1607205976369623,1607205836720323,1607205975112176,1607205844382314,1607205977618424,1607205843740972,1607205977615796,1607205842497239,1607205976382548
