query_id,router_enqueue_0->router_dequeue_0,router_dequeue_0->worker_start_0,worker_start_0->worker_done_0,worker_done_0->router_recv_result_0,router_recv_result_0->router_enqueue_1,router_enqueue_1->router_dequeue_1,router_dequeue_1->worker_start_1,worker_start_1->worker_done_1,worker_done_1->router_recv_result_1,router_recv_result_1->router_enqueue_2,router_enqueue_2->router_dequeue_2,router_dequeue_2->worker_start_2,worker_start_2->worker_done_2,worker_done_2->router_recv_result_2,router_recv_result_2->router_enqueue_3,router_enqueue_3->router_dequeue_3,router_dequeue_3->worker_start_3,worker_start_3->worker_done_3,worker_done_3->router_recv_result_3,router_recv_result_3->router_enqueue_4,router_enqueue_4->router_dequeue_4,router_dequeue_4->worker_start_4,worker_start_4->worker_done_4,worker_done_4->router_recv_result_4,router_recv_result_4->router_enqueue_5,router_enqueue_5->router_dequeue_5,router_dequeue_5->worker_start_5,worker_start_5->worker_done_5,worker_done_5->router_recv_result_5
1000,6653.761,3.804,729.05,73.682,2249.151,333.656,13.69,318.539,37.795,22.97,241.497,15.72,319.027,33.404,27.859,301.996,9.259,286.283,16.285,10.471,195.521,6.14,288.365,14.6,848.976,693.679,15.49,703.849,78.645
1001,6640.819,3.803,729.049,73.711,2249.197,333.584,13.689,318.537,37.825,24.521,239.92,15.718,319.025,33.434,27.912,301.918,9.256,286.282,16.322,11.845,194.114,6.136,288.365,14.639,848.995,1491.379,30.212,699.691,40.655
1002,6627.415,3.802,729.049,73.729,2249.57,333.194,13.689,318.537,37.852,24.91,239.507,15.714,319.026,33.46,28.005,301.8,9.255,286.28,16.353,11.987,193.945,6.133,288.364,14.673,849.26,1491.088,30.21,699.689,59.534
1003,6614.566,3.801,729.05,73.746,2591.313,361.225,4.124,306.998,2.645,29.022,289.844,1.117,306.264,2.297,25.684,306.396,1.013,283.305,2.554,23.031,205.18,1.165,283.826,2.323,562.239,1491.021,30.209,699.688,59.552
1004,6601.625,3.801,729.048,73.766,2976.676,312.434,10.943,296.178,30.763,17.069,271.577,14.274,294.408,29.177,12.971,265.937,15.005,293.85,30.728,14.808,160.857,18.081,292.816,26.264,206.784,1490.968,30.209,699.687,59.565
1005,7394.644,3.506,722.302,80.551,2172.923,310.119,10.939,296.176,36.558,16.296,266.562,14.268,294.407,30.929,11.817,265.347,15.0,293.848,32.553,13.298,160.551,18.073,292.815,28.146,204.992,1490.876,30.209,699.686,59.578
1006,7381.423,3.503,722.302,82.913,2170.687,309.991,10.94,296.173,36.596,20.248,262.575,14.267,294.406,30.965,16.138,260.992,15.0,293.845,32.589,17.796,156.02,18.072,292.813,28.184,911.483,784.349,30.208,699.685,59.593
1007,7368.498,3.502,722.301,82.931,2172.208,308.454,10.939,296.172,36.626,22.451,260.344,14.265,294.406,30.998,16.733,260.366,14.999,293.844,32.62,17.905,155.883,18.07,292.812,28.217,911.731,784.069,30.208,699.683,59.609
1008,7355.239,3.502,722.3,82.946,2172.423,308.23,10.934,296.171,36.656,24.187,258.581,14.262,294.406,31.027,20.474,256.6,14.996,293.842,32.65,18.065,155.697,18.067,292.811,28.248,913.432,782.339,30.207,699.683,59.622
1009,7341.959,3.5,722.3,82.96,2172.689,307.952,10.933,296.17,36.684,24.643,258.1,14.259,294.405,31.057,20.82,256.227,14.995,293.841,32.679,18.459,155.277,18.065,292.81,28.277,1738.426,746.615,16.302,698.59,30.337
